sample, total, mapped
WATDE0088, 1212961880, 1211109336
WATDE0120, 1159239687, 1156318178
WATDE0114, 1186673140, 1184875918
WATDE0075, 1139725206, 1138095056
WATDE0073, 1219826179, 1218232734
WATDE0113, 1170277585, 1168466304
WATDE0094, 1149835844, 1148098014
WATDE0089, 1497128277, 1494566069
WATDE0110, 1321380136, 1319357297
WATDE0112, 1142373233, 1140645723
WATDE0108, 1134441603, 1132701894
Lutin, 1510793803, 1509490563
WATDE0105, 1150520853, 1148585373
eagle, 1946747343, 1945092153
Spitfire, 2061552610, 2059299679
WATDE0095, 1256773386, 1254898265
WATDE0085, 1165770942, 1164069025
Ibis, 1628749722, 1627434782
WATDE0106, 1285421420, 1283654572
WATDE0084, 1251971734, 1249647043
Triumph, 1314862455, 1313657317
WATDE0107, 1132954064, 1131192746
Legend, 1781317532, 1775457432
WATDE0115, 1145508503, 1143886145
WATDE0168, 1130837438, 1129311861
WATDE0082, 1259023036, 1257214689
WATDE0141, 1232722718, 1230702017
Odin, 1809904982, 1808635355
WATDE0097, 1262928165, 1260953414
WATDE0153, 1172967282, 1170989577
WATDE0102, 1147641813, 1146036957
WATDE0145, 1140657062, 1139002374
WATDE0080, 1205345505, 1203242440
WATDE0134, 1142747367, 1141334401
WATDE0117, 1133026782, 1131179193
WATDE0098, 1218333900, 1216523819
WATDE0118, 1136951124, 1134785000
WATDE0181, 1325840558, 1323877680
WATDE0091, 1803682367, 1800153265
WATDE0077, 1361633746, 1359154932
WATDE0066, 1538964089, 1536894819
WATDE0109, 1210043690, 1208133187
WATDE0086, 1158112342, 1156001082
WATDE0164, 1227029633, 1223351078
Soleil, 1571181482, 1569909239
WATDE0138, 1214421058, 1212624709
WATDE0083, 1412217104, 1409635776
WATDE0143, 1145111777, 1143437554
WATDE0074, 1467894329, 1465115879
WATDE0124, 1191954235, 1189842144
WATDE0146, 1138484632, 1137143301
Ikarus, 2239222045, 2234374206
WATDE0136, 1190812341, 1189224511
WATDE0149, 1135326542, 1133338291
WATDE0191, 1467564571, 1465791668
Crest, 1723523664, 1718642577
WATDE0156, 1178859033, 1176961684
WATDE0176, 1134191678, 1131713964
WATDE0104, 1337690832, 1335484214
WATDE0157, 1140153124, 1138187069
WATDE0150, 1231109940, 1229251817
WATDE0169, 1410865312, 1408062867
Rendezvous, 2243097332, 2241153976
WATDE0159, 1144760847, 1143119579
WATDE0182, 1144403203, 1142806225
Banco, 2202713016, 2200455061
WATDE0144, 1355019093, 1353223033
WATDE0116, 1172148731, 1169745707
WATDE0121, 1154952218, 1152594045
WATDE0184, 1318074006, 1315476905
WATDE0119, 1162467555, 1159703542
Lancelot, 1828032939, 1826697079
WATDE0190, 1161639381, 1159543202
WATDE0196, 1124053669, 1121217615
WATDE0133, 1366934779, 1364396488
WATDE0122, 1240693555, 1238354900
WATDE0131, 1163682905, 1162008231
WATDE0246, 1161989243, 1159532003
WATDE0079, 2181579740, 2176467315
WATDE0160, 1343434158, 1341161289
robigus, 2217900971, 2215560041
WATDE0178, 1159730186, 1158289909
WATDE0148, 1291529933, 1289751939
WATDE0194, 1201583196, 1199943606
WATDE0165, 1209901361, 1208281302
Bersee, 2177458267, 2175194304
WATDE0103, 2164047094, 2160813852
WATDE0123, 1254059426, 1251608458
WATDE0152, 1138145452, 1136060573
WATDE0230, 1133487427, 1131775105
WATDE0214, 2244159507, 2240816739
WATDE0233, 1138695802, 1137400856
WATDE0242, 1126634455, 1125129494
Beauchamp, 1715286722, 1713869577
Savannah, 1762322136, 1757810700
WATDE0177, 1261520323, 1259725371
WATDE0258, 1260405671, 1258452346
Trafalgar, 1701990594, 1700616490
WATDE0224, 1161058020, 1159610812
WATDE0243, 1173891608, 1172319409
WATDE0140, 1245018871, 1243016621
WATDE0185, 1174448897, 1172539594
WATDE0239, 1366240307, 1364258979
WATDE0092, 1604070030, 1601576396
WATDE0195, 1135185823, 1133618364
WATDE0205, 1214536329, 1213064379
WATDE0171, 1155226448, 1152976376
WATDE0188, 1560222522, 1558276660
WATDE0126, 1332333301, 1330249938
WATDE0158, 1256529475, 1254608752
WATDE0154, 1739388469, 1736725120
WATDE0174, 1146676778, 1145215190
Druid, 2011638236, 2005345883
Odeon, 1860675116, 1858972846
WATDE0183, 1136838035, 1135245219
Boxer, 1613179276, 1610605590
WATDE0198, 1242664861, 1240469669
WATDE0162, 1422726913, 1420771041
Tandem, 2324000965, 2318886797
Top, 1561478990, 1560237978
WATDE0217, 1169466676, 1167728376
Warrior, 1992749201, 1990808649
WATDE0304, 1166287542, 1164366852
WATDE0211, 1142587811, 1141226859
WATDE0173, 1149985861, 1148438490
WATDE0284, 1165945914, 1163905872
WATDE0204, 1140898393, 1139227080
Erland, 2360535488, 2355100312
WATDE0248, 1328603453, 1326537959
WATDE0247, 1373860450, 1371993284
WATDE0325, 1130107629, 1128482662
WATDE0293, 1147880062, 1144880003
WATDE0199, 1135586696, 1133995302
WATDE0206, 1184350808, 1182879714
WATDE0212, 1236692768, 1234892269
Torfrida, 1969817305, 1935998465
WATDE0234, 1387405223, 1385459573
WATDE0221, 1188416955, 1186879846
WATDE0222, 1270542465, 1268287153
Karat, 2384969315, 2316621632
WATDE0192, 1134584483, 1132477035
WATDE0249, 1183848599, 1181440781
WATDE0223, 1165313384, 1163834237
WATDE0290, 1136451080, 1134822252
