sample, total, mapped
WATDE0704, 1470956663, 1468156646
WATDE0739, 1157322994, 1155515899
WATDE0752, 1302192333, 1299838800
WATDE0679, 1182244212, 1180637774
WATDE0688, 1346658421, 1344427293
WATDE0709, 1152824960, 1151134565
WATDE0594, 1291605373, 1289711254
WATDE0626, 1340445943, 1337693019
WATDE0713, 1200839315, 1199010561
WATDE0720, 1315749532, 1311926072
WATDE0635, 1213337117, 1211450654
WATDE0706, 1278514468, 1276692724
WATDE0670, 1132049631, 1130127281
WATDE0716, 1379107986, 1376378259
WATDE0740, 1172664151, 1170874666
WATDE0697, 1318016695, 1315303074
WATDE0712, 1208366944, 1206070154
WATDE0582, 1498504873, 1495624098
WATDE0743, 1149986697, 1147449886
WATDE0745, 1162029536, 1159814248
WATDE0758, 1428078531, 1425967136
WATDE0798, 1284581273, 1282057951
WATDE0773, 1398008320, 1395779928
WATDE0750, 1408082051, 1405399162
WATDE0802, 1258226616, 1256343205
WATDE0788, 1151646358, 1149398459
WATDE0729, 1615423783, 1612415124
WATDE0830, 1133656234, 1131652446
WATDE0730, 1578700806, 1576026355
WATDE0661, 1500246089, 1498050348
WATDE0644, 1218842000, 1216817173
WATDE0754, 1323460104, 1321194770
WATDE0702, 1361409086, 1359098171
WATDE0761, 1252507720, 1250366398
WATDE0821, 1342652163, 1340625400
WATDE0744, 1400711404, 1398576270
WATDE0703, 1479693748, 1477075504
WATDE0641, 1193808645, 1191867119
WATDE0759, 1771263933, 1767767683
WATDE0828, 1145419242, 1143262208
WATDE0810, 1265860482, 1263746656
WATDE0770, 1272496321, 1270626403
WATDE0816, 1163621163, 1161427182
WATDE0863, 1199044672, 1197250932
WATDE0747, 1296481963, 1293873363
WATDE0737, 1402592349, 1400236156
WATDE0845, 1651918961, 1648746711
WATDE0783, 2083478091, 2078731577
WATDE0782, 1307027253, 1304924950
WATDE0786, 2915938592, 2905791035
WATDE0774, 1185671523, 1182529788
WATDE0831, 1180306447, 1177635019
WATDE0819, 1149457760, 1147029424
WATDE0804, 1250509849, 1247776408
WATDE0846, 1148285567, 1146177740
WATDE0666, 1237654591, 1236026953
WATDE0795, 1263831131, 1261872827
WATDE0817, 1145637717, 1143616707
WATDE0915, 1154311846, 1151506403
WATDE0756, 1430848040, 1428197049
WATDE0814, 1144827054, 1143083420
WATDE0760, 1877461547, 1874308605
WATDE0779, 1580173920, 1577663637
WATDE0667, 1425123059, 1422029549
WATDE0805, 1239002717, 1237031913
WATDE0835, 1168644522, 1166844738
WATDE0826, 1142989520, 1140643121
WATDE0873, 1157776805, 1156098929
WATDE0854, 1131749781, 1129858974
WATDE0803, 1216027561, 1213431826
WATDE0862, 1149401116, 1146842535
WATDE0823, 1144177995, 1142131229
WATDE0914, 1440196808, 1437702442
WATDE0896, 1218744925, 1216464307
WATDE0843, 1162410235, 1160492028
WATDE0857, 1159942450, 1157695121
WATDE0726, 1213081919, 1211225669
WATDE0748, 1589328809, 1586337643
WATDE0881, 1161723341, 1159659616
WATDE0742, 1247415375, 1245543850
WATDE0874, 1153149735, 1151091949
WATDE0877, 1172150536, 1170300765
WATDE0721, 1244088751, 1242135779
WATDE0791, 1334581166, 1331377284
WATDE0815, 1315285968, 1311865068
WATDE0836, 1357212225, 1354600223
WATDE0765, 1254052895, 1252401594
WATDE0859, 1273150182, 1270950374
WATDE0755, 1938475411, 1934955297
WATDE0880, 1837543130, 1833372300
WATDE0871, 1231370172, 1229526649
WATDE0901, 1190703563, 1188837138
WATDE0808, 1426169713, 1423876054
WATDE0691, 1683090874, 1680257897
WATDE0872, 1141123980, 1139241424
WATDE0771, 1198534256, 1196867132
WATDE0864, 1287492758, 1285520069
WATDE0882, 1216176633, 1214178775
WATDE0776, 1154762535, 1152972061
WATDE0807, 1178588832, 1176519135
WATDE0865, 1211078048, 1209248910
WATDE0785, 2690700456, 2684518882
WATDE0912, 1144473817, 1142415853
WATDE0894, 1277309536, 1274674834
WATDE0851, 1400792110, 1398158167
WATDE0876, 1341356483, 1339200146
WATDE0889, 1278476320, 1276533391
WATDE0812, 1227288587, 1225179873
WATDE0811, 1155934864, 1153992373
WATDE0895, 1196366849, 1194263543
WATDE0947, 2323782842, 2319094384
WATDE0775, 1969518620, 1965800819
WATDE0883, 1162605118, 1160076578
WATDE0888, 1236386294, 1234545675
WATDE0869, 1325144718, 1323250085
WATDE0856, 1472858250, 1470530916
WATDE0887, 1141245691, 1139437172
WATDE0898, 1282700431, 1280030244
WATDE0789, 2069243102, 2064875381
WATDE0918, 1149383099, 1147600744
WATDE0825, 1172967164, 1171191706
WATDE0899, 1164101395, 1161810737
WATDE0875, 1326303613, 1324321528
WATDE0833, 1157840468, 1156033172
WATDE0928, 1857672220, 1855040546
WATDE0902, 1170992271, 1169102425
WATDE0995, 1247340625, 1245160422
WATDE0907, 1426250291, 1423626684
WATDE0911, 1147840379, 1146159189
WATDE0861, 1221627250, 1219461981
WATDE0905, 1247791070, 1245605030
WATDE0923, 1180076995, 1178344804
WATDE0906, 1211022529, 1209186899
WATDE0981, 1233209956, 1230555948
WATDE0922, 1157227601, 1155412164
WATDE0766, 1817648727, 1814133260
WATDE0827, 1150934154, 1149194513
WATDE0913, 1408677922, 1406175268
WATDE0910, 1152281042, 1149481214
WATDE0884, 1205164676, 1203347389
WATDE0818, 1334948472, 1332291924
WATDE0954, 1261304568, 1259442153
WATDE0900, 1307876149, 1305846608
WATDE0951, 4176359536, 4170158232
WATDE1019, 1260176558, 1257977742
WATDE1038, 1178819957, 1177074472
WATDE1034, 1166810838, 1164688759
WATDE0986, 1236469624, 1234215242
WATDE0852, 1255375289, 1252882007
WATDE0917, 1302092916, 1300263705
WATDE0892, 1406784425, 1403844286
WATDE0878, 1141370122, 1139174942
WATDE0890, 1443110212, 1440568219
WATDE1061, 1314468744, 1312002714
WATDE1060, 1165840865, 1163932866
WATDE0970, 1245816989, 1243751688
WATDE1012, 1136968656, 1135040544
WATDE0769, 2163607111, 2159424113
WATDE0879, 1189118445, 1187697191
WATDE0909, 1424213663, 1421853832
WATDE0965, 1212393300, 1210827840
WATDE0993, 1223781512, 1221945951
WATDE0919, 1406171876, 1404191992
WATDE0904, 1225145162, 1222961168
WATDE0967, 1199028876, 1197267072
WATDE0916, 1210072137, 1208091045
WATDE0975, 1174342673, 1172384757
WATDE0969, 1240622897, 1238619777
WATDE0840, 2565869709, 2560816248
WATDE0966, 1260088959, 1258245681
WATDE0957, 1735922829, 1732772519
WATDE0979, 1314748618, 1311723181
WATDE1046, 1214825316, 1212665939
WATDE0800, 2093838596, 2090188890
WATDE0903, 1348782716, 1346154851
WATDE0961, 1305590994, 1303511992
WATDE0997, 1187274070, 1185339159
WATDE0958, 1413290512, 1410402425
WATDE0935, 1640266150, 1637715463
WATDE1010, 1238908424, 1236816359
WATDE0305, 4472408577, 4461265455
WATDE0977, 1325357843, 1322673646
WATDE1021, 1535763850, 1533020181
WATDE0963, 1272072016, 1270196844
Waxwing, 1149179845, 1147805842
WATDE1009, 1247094959, 1244219242
WATDE0983, 1248774699, 1245947330
WATDE1044, 1180459816, 1178236390
WATDE0991, 1210585844, 1208763243
WATDE1014, 1228528941, 1226600545
WATDE0850, 1748975824, 1746242470
WATDE0996, 1254129789, 1252275360
WATDE0974, 1270007228, 1267024946
WATDE0932, 1410357811, 1407802182
WATDE0790, 2266462995, 2260344447
WATDE0934, 1371520408, 1369074155
WATDE0950, 2478220004, 2474670952
WATDE0987, 1271483235, 1268328054
WATDE0768, 2713825481, 2708049920
WATDE0920, 1427649951, 1424747174
WATDE1005, 1311901338, 1309812072
WATDE1032, 1159059875, 1156899988
WATDE1049, 1342322090, 1339799727
WATDE0982, 1213838804, 1211428463
WATDE0793, 2652844903, 2646942174
WATDE0938, 2374355356, 2369305662
WATDE0924, 1742163672, 1739749394
WATDE0984, 1218341699, 1216512163
WATDE0777, 2280286285, 2275934148
WATDE0971, 1265292472, 1263288031
WATDE0929, 1464547241, 1462354600
WATDE0939, 2450566430, 2445472338
WATDE1004, 1502195670, 1499334152
WATDE0794, 2371015990, 2366140546
WATDE1017, 1193750140, 1191560961
WATDE1029, 1160323798, 1157051637
WATDE0839, 2326480134, 2322612822
WATDE1001, 1259028729, 1256888180
WATDE0989, 1127161295, 1125560565
WATDE0927, 1708172400, 1704784724
WATDE1002, 1308700048, 1306259053
Wyalkatatchen, 1201417527, 1199683647
WATDE0973, 1134277952, 1132674782
WATDE1026, 1217658574, 1215775590
WATDE0955, 1749949046, 1747373865
WATDE0781, 2422018361, 2417473412
WATDE0797, 3153805653, 3147201576
WATDE0848, 2350634173, 2345612110
WATDE1037, 1162870619, 1159512885
WATDE0930, 2438919664, 2435426269
Werla, 1241744499, 1238216089
WATDE1027, 1132373841, 1130848826
WATDE1016, 1418623663, 1416527475
WATDE0941, 3644773046, 3639212604
WATDE1031, 1348866993, 1346476786
WATDE1008, 1259128627, 1256794168
WATDE1023, 1152996718, 1150839374
WATDE1062, 1146062546, 1144457733
WATDE1035, 1214070312, 1211921891
WATDE1003, 1311415881, 1308669787
WATDE1050, 1359413924, 1356387595
WATDE1025, 1267646667, 1265740639
WATDE1053, 1153604123, 1151682009
WATDE1018, 1174252341, 1171579033
WATDE0978, 1662284173, 1658534041
WATDE1051, 1152711905, 1150896795
WATDE1048, 1168643944, 1166205848
WATDE1052, 1369907983, 1367586749
WATDE0837, 2404644862, 2400499050
WATDE0926, 2127372716, 2123688096
WATDE1055, 1369765941, 1367684872
WATDE1058, 1213519552, 1210786935
WATDE0780, 2962607193, 2956833657
WATDE0933, 1990103269, 1987612184
WATDE0945, 3520693502, 3515168840
Xi, 1921855773, 1920507892
Wizard, 619414794, 618742041
WATDE0953, 2841966640, 2836910020
WATDE1042, 1473763062, 1471162553
WATDE0937, 2650104098, 2646035468
Zemon, 1684329138, 1683029084
WATDE0952, 3524432024, 3518547976
WATDE1056, 1289856540, 1286844184
WATDE1040, 1277511081, 1275656853
WATDE0841, 2615245442, 2610556254
WATDE0944, 3910702336, 3903456006
WATDE0278, 3999667234, 3988980409
Zentos, 1800346584, 1790845942
Talent, 2428348020, 2426123724
Tambor, 2333402657, 2050380566
